"run_id","event_id","run_type","service","target","fault_type","intensity","start_time","end_time","baseline_start","baseline_end","observe_end","expected_fault_window_start","expected_fault_window_end","status","notes"
"run_001","event_01","single_fault_serial","carts","carts-b6c5c87f9-7j9ch","kill","-","2026-06-16 14:54:01","2026-06-16 14:55:32","2026-06-16 14:46:01","2026-06-16 14:54:01","2026-06-16 14:56:01","2026-06-16 14:54:01","2026-06-16 14:55:01","executed","标准轮 1：5 服务 kill + 5 服务 pause + 5 服务 kill，带轻微随机顺序和事件间隔抖动"
"run_001","event_02","single_fault_serial","orders","orders-6cfcf6794c-8kqmf","kill","-","2026-06-16 14:56:50","2026-06-16 14:58:21","2026-06-16 14:46:01","2026-06-16 14:54:01","2026-06-16 14:58:19","2026-06-16 14:56:19","2026-06-16 14:57:19","executed","标准轮 1：5 服务 kill + 5 服务 pause + 5 服务 kill，带轻微随机顺序和事件间隔抖动"
"run_001","event_13","single_fault_serial","front-end","front-end-87ff7b849-8dwps","kill","-","2026-06-16 15:00:07","2026-06-16 15:01:39","2026-06-16 14:46:01","2026-06-16 14:54:01","2026-06-16 15:01:05","2026-06-16 14:59:05","2026-06-16 15:00:05","executed","标准轮 1：5 服务 kill + 5 服务 pause + 5 服务 kill，带轻微随机顺序和事件间隔抖动"
"run_001","event_12","single_fault_serial","orders","orders-6cfcf6794c-dp2hs","kill","-","2026-06-16 15:03:19","2026-06-16 15:04:50","2026-06-16 14:46:01","2026-06-16 14:54:01","2026-06-16 15:03:45","2026-06-16 15:01:45","2026-06-16 15:02:45","executed","标准轮 1：5 服务 kill + 5 服务 pause + 5 服务 kill，带轻微随机顺序和事件间隔抖动"
"run_001","event_14","single_fault_serial","catalogue","catalogue-744d46f784-rmh7n","kill","-","2026-06-16 15:06:03","2026-06-16 15:07:03","2026-06-16 14:46:01","2026-06-16 14:54:01","2026-06-16 15:05:58","2026-06-16 15:03:58","2026-06-16 15:04:58","executed","标准轮 1：5 服务 kill + 5 服务 pause + 5 服务 kill，带轻微随机顺序和事件间隔抖动"
"run_001","event_09","single_fault_serial","catalogue","catalogue-744d46f784-nlsnl","pause","60s","2026-06-16 15:08:48","2026-06-16 15:09:48","2026-06-16 14:46:01","2026-06-16 14:54:01","2026-06-16 15:08:42","2026-06-16 15:06:42","2026-06-16 15:07:42","executed","标准轮 1：5 服务 kill + 5 服务 pause + 5 服务 kill，带轻微随机顺序和事件间隔抖动"
"run_001","event_05","single_fault_serial","user","user-9c64594b7-lgzvb","kill","-","2026-06-16 15:11:12","2026-06-16 15:12:13","2026-06-16 14:46:01","2026-06-16 14:54:01","2026-06-16 15:11:06","2026-06-16 15:09:06","2026-06-16 15:10:06","executed","标准轮 1：5 服务 kill + 5 服务 pause + 5 服务 kill，带轻微随机顺序和事件间隔抖动"
"run_001","event_08","single_fault_serial","front-end","front-end-87ff7b849-q67hx","pause","60s","2026-06-16 15:13:36","2026-06-16 15:14:36","2026-06-16 14:46:01","2026-06-16 14:54:01","2026-06-16 15:13:29","2026-06-16 15:11:29","2026-06-16 15:12:29","executed","标准轮 1：5 服务 kill + 5 服务 pause + 5 服务 kill，带轻微随机顺序和事件间隔抖动"
"run_001","event_06","single_fault_serial","carts","carts-b6c5c87f9-5wwnj","pause","60s","2026-06-16 15:15:58","2026-06-16 15:16:59","2026-06-16 14:46:01","2026-06-16 14:54:01","2026-06-16 15:15:51","2026-06-16 15:13:51","2026-06-16 15:14:51","executed","标准轮 1：5 服务 kill + 5 服务 pause + 5 服务 kill，带轻微随机顺序和事件间隔抖动"
"run_001","event_04","single_fault_serial","catalogue","catalogue-744d46f784-nlsnl","kill","-","2026-06-16 15:18:09","2026-06-16 15:19:09","2026-06-16 14:46:01","2026-06-16 14:54:01","2026-06-16 15:18:01","2026-06-16 15:16:01","2026-06-16 15:17:01","executed","标准轮 1：5 服务 kill + 5 服务 pause + 5 服务 kill，带轻微随机顺序和事件间隔抖动"
