version,feature_name,avg_precision,avg_recall,avg_f1,avg_anomaly_ratio,event_hit_rate,kill_hit_rate,pause_hit_rate
V1,rate_plus_rolling,0.0845,0.3499,0.1361,0.2651,,,
V1,full_features,0.0753,0.4896,0.1291,0.4015,,,
V1,rate_only,0.0816,0.329,0.1271,0.2495,,,
V1,stat_enhanced,0.0598,0.3976,0.1027,0.4269,,,
V1,cpu_memory,0.0644,0.256,0.1024,0.2544,,,
V2,full_features,0.0639,0.3703,0.1072,0.353,0.7778,,
V2,rate_plus_rolling,0.0657,0.2545,0.1045,0.249,0.6667,,
V2,cpu_memory,0.0605,0.21,0.0936,0.2237,0.5556,,
V2,stat_enhanced,0.0483,0.3021,0.0821,0.3983,0.7778,,
V2,rate_only,0.0449,0.1397,0.0677,0.1325,0.4444,,
V3,full_features,0.1628,0.1433,0.1184,0.1424,0.4444,,
V3,stat_enhanced,0.1115,0.1433,0.1066,0.1513,0.4444,,
V3,cpu_memory,0.0344,0.0921,0.0496,0.1202,0.4444,,
V3,rate_only,0.0629,0.0921,0.0743,0.0621,0.2222,,
V3,rate_plus_rolling,0.0363,0.0921,0.0519,0.1071,0.2222,,
V4,full_features,0.0701,0.3941,0.1158,0.3495,0.7778,0.8,0.75
V4,stat_enhanced,0.0507,0.3021,0.0854,0.3827,0.7778,0.8,0.75
V4,rate_plus_rolling,0.0525,0.2545,0.0857,0.3172,0.6667,0.6,0.75
V4,cpu_memory,0.06,0.1433,0.0816,0.18,0.5556,0.6,0.5
V4,rate_only,0.0469,0.0921,0.062,0.0827,0.2222,0.4,0.0
